                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.3025,                 1.5741,                 1.0901,                0.84536,                0.57675,                0.65226,                0.44078,                 1.2006,                 2.4237,                0.72902,              4.478e-05,              4.478e-05,              4.478e-05
                    128,                 1.4447,                  1.874,                 1.1468,                0.99537,                0.14582,                0.21413,                0.15456,                 1.1874,                 2.3416,                0.72326,             4.4191e-05,             4.4191e-05,             4.4191e-05
                    129,                 1.2907,                 1.7072,                 1.0914,                0.99274,                0.18654,                0.28051,                0.19248,                 1.1874,                 2.3416,                0.72326,             4.3602e-05,             4.3602e-05,             4.3602e-05
                    130,                  1.437,                 1.7143,                 1.0996,                0.86923,                0.50884,                0.59893,                0.41806,                 1.1874,                 2.3416,                0.72326,             4.3013e-05,             4.3013e-05,             4.3013e-05
                    131,                 1.5127,                 1.7229,                 1.1216,                0.85245,                0.57813,                0.66973,                0.45703,                 1.1874,                 2.3416,                0.72326,             4.2423e-05,             4.2423e-05,             4.2423e-05
                    132,                 1.3713,                 1.7936,                  1.065,                0.99442,                0.14492,                0.21398,                 0.1462,                  1.171,                 2.2712,                0.71773,             4.1834e-05,             4.1834e-05,             4.1834e-05
                    133,                 1.3242,                 1.7673,                 1.0846,                0.99216,                0.18633,                0.28183,                 0.1873,                  1.171,                 2.2712,                0.71773,             4.1245e-05,             4.1245e-05,             4.1245e-05
                    134,                 1.4062,                 1.9499,                 1.1062,                0.89967,                0.50907,                0.60604,                0.42948,                  1.171,                 2.2712,                0.71773,             4.0656e-05,             4.0656e-05,             4.0656e-05
                    135,                  1.286,                 1.4966,                 1.0953,                0.88668,                0.57769,                0.67772,                0.46884,                  1.171,                 2.2712,                0.71773,             4.0067e-05,             4.0067e-05,             4.0067e-05
                    136,                 1.3537,                 1.4216,                 1.0719,                0.95492,                0.12371,                0.12437,                0.09111,                 1.1525,                 2.2239,                0.71251,             3.9478e-05,             3.9478e-05,             3.9478e-05
                    137,                 1.1748,                 1.4718,                 1.0745,                0.99187,                 0.1855,                0.28223,                0.19002,                 1.1525,                 2.2239,                0.71251,             3.8889e-05,             3.8889e-05,             3.8889e-05
                    138,                 1.0957,                 1.6429,                 1.0145,                0.89941,                0.50992,                0.62797,                0.44851,                 1.1525,                 2.2239,                0.71251,               3.83e-05,               3.83e-05,               3.83e-05
                    139,                 1.3049,                 1.7229,                 1.0747,                0.86854,                0.61982,                0.83228,                0.60676,                 1.1525,                 2.2239,                0.71251,             3.7711e-05,             3.7711e-05,             3.7711e-05
